45849,45848,69457
15519,15524,60780
40969,70504,67397
45176,45175,67885
45182,45181,67886
66989,73933,64257
46525,71103,46526
71396,15529,15530
32745,32744,66936
61853,65613,67398
61847,65608,67397
64008,75435,59025
26409,66895,64008
63349,73163,57317
49752,49751,63441
26758,26759,59956
15531,15532,60515
41187,41188,68810
59027,15534,15535
15528,71396,68986
67887,45370,45371
60780,76796,15519
15531,60515,15530
77625,69821,62542
57680,69822,68794
69960,47897,47896
50427,50426,72938
68049,74388,70803
72933,71663,61646
40133,40132,72100
40131,40132,72101
78512,68615,78374
76958,72102,70903
37544,72529,74104
49259,71663,49260
69577,70256,71664
15559,67056,15558
69574,72936,61689
73616,72349,73998
42399,74205,42398
41644,41645,74204
56188,73686,55089
77683,72937,61702
59421,73952,72031
60782,15562,15563
37544,37543,74473
15564,60782,15563
63896,73686,61751
73952,77742,72031
15560,15561,67056
37710,37709,74207
67893,79281,73335
73673,50609,74323
72678,76504,77933
74002,74000,74582
74205,68855,76772
73999,74000,72353
15558,69159,15557
15554,15555,64454
73115,75908,78418
66687,73688,63579
74475,34434,34435
72531,39379,74107
69774,72939,61740
75282,74002,72354
43731,73327,73924
15553,64454,64453
64453,64454,60781
69159,64454,15557
61223,66789,74206
50487,74322,73965
68486,73688,55759
15566,60782,15565
74369,79114,79052
69574,73111,74321
73112,73965,74322
74372,43221,43222
74204,72673,77766
77621,73685,71785
72832,34430,73997
73685,44127,44128
60782,15566,56564
41649,74203,41648
15567,15568,56564
78287,73997,72349
72348,72347,73996
49281,74321,49282
57873,74203,58029
49028,74201,74200
34687,74320,34686
77132,70958,68193
15569,56564,15568
76052,73011,75896
56564,15569,15570
73377,72501,74387
58369,15570,15571
62131,69756,77889
34433,73996,34434
76194,74892,42696
73333,78301,70665
72936,49278,49277
78301,79120,70665
44862,73323,70662
15572,55898,15571
72831,73995,60834
58369,15571,55898
41045,76429,41044
70958,77132,49033
73330,73011,74368
72672,74200,74201
74489,42604,42603
34427,73995,34428
78956,77776,73088
53204,15575,15576
76429,41043,41044
67851,78253,78698
36728,76490,79326
73661,69740,73683
70068,73094,74320
15572,15573,55898
75323,68042,36830
15564,15565,60782
75815,76375,72501
15578,53204,15576
15554,64454,15553
67869,76954,77738
54493,58369,55898
15584,15585,69874
35558,35557,73318
15575,53204,15574
77094,73680,69715
15581,62139,15580
15579,53204,15578
62139,55898,15573
75971,74497,73687
15578,15576,15577
72368,73319,50923
73994,73993,72348
67835,50923,73319
73191,41985,73680
72525,37592,68121
62512,72933,62513
73993,73994,72346
78178,79236,76668
77745,74022,78138
72525,37246,37247
50006,71660,71659
76933,72097,71696
77631,75631,77380
62826,69874,15585
74222,72688,72740
26754,26755,59955
15541,56562,68543
75021,77067,56565
50011,71661,50010
15582,15583,69874
37502,37503,72526
71663,72933,69564
48970,72934,48969
68152,72098,70895
76219,75080,37581
37238,76377,37239
15586,15587,66270
70259,72934,61686
67835,73319,73320
26408,66268,26407
40124,72098,40125
68543,15539,15540
70339,73681,41659
44645,73320,73319
73756,74511,70439
56561,59028,64010
74364,43947,43946
68327,73681,69716
42608,73682,72963
69740,72963,73682
43948,43947,73321
73322,73507,78253
72935,61688,65453
15588,15589,62827
44870,73322,44869
15588,62827,66270
70900,72100,70901
37523,37524,74101
37584,76272,37583
68762,71662,20158
71293,69562,71661
40129,40128,72099
20157,20158,71662
15593,59032,15592
48973,72935,48972
15591,62827,15590
34432,73994,72348
15590,62827,15589
75722,64234,75176
73856,40128,40127
74100,37522,74101
38487,38488,72511
69584,72077,71667
35784,72511,35783
68084,70828,72076
64457,15596,15597
37735,72438,74719
15594,64012,59032
69503,71635,71637
69504,71636,61478
72510,72509,74092
34985,71186,59058
15598,15599,64457
70724,73813,72051
19192,70242,70241
42977,72051,42976
75630,71187,60819
15599,64456,64457
71635,47833,71637
15598,64457,15597
50507,71667,72077
59032,56565,15591
75887,36008,36009
59032,15591,15592
34158,76399,34159
72688,58170,60204
68043,74385,73371
77776,76847,77721
37656,74388,37657
15599,15600,64456
74171,62807,77126
77405,73513,75956
26455,62828,26454
43679,74567,43680
73954,74023,77743
43441,73626,73956
70190,43817,73733
43709,43710,74170
26455,26456,66896
34766,74295,73282
77953,73245,64094
73626,69330,78604
62828,26453,26454
60304,78247,67031
56992,68610,77030
36047,72433,36046
72813,49157,49158
73116,74137,79249
60519,26450,59034
74023,43715,43714
26457,26458,66897
73625,73953,77120
61969,65784,75095
36749,36750,72432
26451,26452,60518
68694,71262,71992
77868,75575,76566
30927,71086,67107
68353,67107,71086
41659,71993,41660
60518,26450,26451
78526,71220,78387
75587,73318,74363
33782,70612,33781
60519,26448,26449
62761,71105,73519
68656,76919,71241
42270,71105,42271
61237,69344,71554
34284,75989,34283
26453,56566,60518
72253,31617,31618
60519,26449,26450
71241,76919,71555
66896,26456,26457
74053,36777,36778
33829,60731,33830
26414,26415,56567
20525,60377,20524
25940,59106,35364
62153,55845,54151
60516,26446,26447
60730,33831,33830
25958,66903,25957
56908,63087,59348
75392,62829,56568
55353,74955,57949
71294,49264,49263
58162,75637,58163
41197,72215,71324
35382,35383,76163
58162,59529,75637
24109,24110,60346
20505,58634,71875
35363,59106,56649
59035,26413,26414
56567,59035,26414
59598,76510,74860
60626,60624,59596
62829,26417,56568
22443,57917,60112
59036,26417,26418
72007,56600,73207
79078,79193,78791
26418,26419,59036
59036,56568,26417
63855,17974,17975
26445,26446,60517
64238,59855,57620
46449,67517,46450
17973,17974,59349
17969,17970,59348
76794,60605,69141
60488,47662,47661
74864,34115,76178
60365,58603,69118
72768,60112,57917
64938,31702,31703
69142,43260,43259
60772,20722,20723
25960,59107,64037
62830,64013,26422
25643,67079,64547
26413,59035,26412
59035,66895,26412
57425,72444,36454
34769,34768,75922
72443,72444,36372
26445,60517,26444
48069,71553,69355
46221,46220,71104
35536,67829,70633
69207,33712,71458
71521,31783,31784
69133,26443,60517
48075,71554,48074
60911,64611,70143
73729,65992,62265
59038,73906,56569
78294,72849,74242
73900,68400,76912
44642,70640,67835
18926,71109,18925
69349,71558,48052
71184,26439,26440
72180,46220,46219
26441,68544,71184
70567,70566,72010
54929,68391,71109
48053,48052,71558
56569,26435,59038
78196,70640,67834
67833,70638,70639
60940,69213,71902
68585,76889,71203
65256,18922,71108
59037,26435,56569
61239,71557,69352
69657,72278,41152
60937,64651,70149
59038,26435,26436
63829,69160,60786
74655,40363,74427
43115,43114,68676
76724,64087,59277
17880,17881,67176
40107,40106,68162
17880,67176,67175
26434,26435,59037
68909,69160,59040
26437,26438,59038
44638,70639,70638
60517,26446,60516
72445,36369,36368
62830,26422,66271
51548,51939,65856
58393,60277,63836
26425,56570,66271
26426,56570,26425
26434,59037,26433
64381,60444,32567
78906,60978,76689
73229,66674,63547
26430,56570,26426
30798,66038,62377
55068,27843,61692
74918,54524,68969
66492,60313,58477
67130,32931,32930
52929,60130,64323
58863,62831,66272
65798,22752,22753
40150,40149,73568
48626,61693,48625
26423,66271,26422
61312,69430,71599
63663,66738,41458
56570,26431,26432
41457,41458,66738
41453,66737,64445
40106,40105,70912
75198,67176,64788
64086,66937,67663
43113,68676,43114
26430,26431,56570
32759,32758,67664
65919,62141,72776
26427,26429,26430
32932,32931,64707
77339,67562,77417
18090,67667,64787
26428,26429,26427
64810,64809,67180
41938,63670,66744
70159,64809,61038
66949,64787,67667
70267,61759,72941
26426,26427,26430
20700,20701,65508
40351,73464,40352
62938,66328,33211
26424,66271,26423
61398,24086,24087
69161,69162,60788
25906,25907,63836
69762,61215,72861
50214,50213,63898
26407,66268,67058
60472,33867,33868
60472,33868,33869
74834,59597,57256
64036,25983,25984
56907,59346,59347
17989,59347,59346
26405,67058,64460
20723,20724,60772
64319,57917,60114
64460,26402,26403
47662,60488,47663
59853,20730,20731
64547,25640,25641
59503,48148,60604
26404,64460,26403
59499,78169,60604
60784,64459,26402
74874,35542,72849
62825,69873,66269
69141,48141,48140
31719,61119,56960
71824,62904,69884
61397,73121,64174
52554,55449,72973
